Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.20379092418151262
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.24057247426479728
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.4472830543389099
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.49229899999999666
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.6049309999999969
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.2323719999999966
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.27153082352940816
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.2217555648886998
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.21693000000000257
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.12015218749998968
PCE_LINEAR,0.2298498530612351
PCE_EXPONENTIAL,0.052954645596937765
