Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.2102268506614061
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.27202488092176635
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.48598361475386076
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.5280864285714251
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.6344239285714252
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.23441714285713938
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.3053418067226854
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.2574563941030231
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.19410000000000344
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.14939748883927492
PCE_LINEAR,0.2513569260213432
PCE_EXPONENTIAL,0.054968565269582624
