Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.17462250754984607
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.1979210415791657
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.40612587748244755
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.44652599999999704
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5660514999999972
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.1944999999999971
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.23250952941176153
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.19301013979720205
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.19065000000000304
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.07913914062499101
PCE_LINEAR,0.20870314051421804
PCE_EXPONENTIAL,0.05393395194378876
