Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.19114999999999904
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.2188942857142849
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.4257316666666656
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.4736316666666657
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5826166666666657
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.20690999999999882
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.270885833333332
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.20814249999999984
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.21463333333333678
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.10308802083332709
PCE_LINEAR,0.22918513809464675
PCE_EXPONENTIAL,0.06394762094043623
