Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.16356999999999694
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.199769285714283
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.4069083333333305
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.45026333333333046
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5630249999999971
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.17366333333333017
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.23010156862744768
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.185488749999998
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.16240000000000243
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.08452812499999433
PCE_LINEAR,0.22150462010219388
PCE_EXPONENTIAL,0.05161331243555778
