Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.07213756708053438
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.09488950276242807
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.23519054832768654
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.26246485148514526
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.3838418316831653
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.08529702970296758
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.11702419918462088
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.07465543872155646
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.20926732673267714
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.021788482363856953
PCE_EXPONENTIAL,0.060845936630910494
