Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.29314113717724993
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.34348798738310327
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.5588898222035497
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.5990859999999937
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.6959599999999938
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.30579599999999346
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.3770975294117581
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.3340598188036185
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.13524999999999926
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.19822265624998453
PCE_LINEAR,0.2861414130467722
PCE_EXPONENTIAL,0.21639309708508522
