Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.11310131013101307
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.06477647764776419
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.16956195619561837
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.19895999999999872
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.2970999999999991
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.08224999999999907
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.07757367647058669
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.0539191419141908
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.25455000000000455
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.07084062500000339
PCE_LINEAR,0.07615962742936025
PCE_EXPONENTIAL,0.059490115557567516
