Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.329452945294527
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.3744202991727724
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.6151115111511131
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.6655599999999978
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.7424324999999978
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.39231999999999767
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.4342044117647036
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.39915991599159784
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.26280000000000436
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.2767304687499893
PCE_LINEAR,0.3878468188733445
PCE_EXPONENTIAL,0.045648476350502606
