Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.0743672436724355
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.0668018823045351
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.17374248742487186
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.19242349999999753
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.30390049999999774
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.07178099999999803
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.07969522058823256
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.04216017160171426
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2633500000000046
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.020494765625000983
PCE_EXPONENTIAL,0.03769191338049063
