Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.20989859898598556
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.23120009771525868
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.4362613626136218
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.47188899999999556
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5913357499999957
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.20994799999999536
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.26352898529411306
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.2073609486094826
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.14247499999999977
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.10911570312498872
PCE_EXPONENTIAL,0.046473511861570865
