Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.15671266535241543
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.19104831698685884
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.40689944573011905
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.447094999999997
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5683382142857114
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.19277571428571116
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.23999621848739175
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.18929030599125535
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.16122142857143143
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.08474056919641987
PCE_LINEAR,0.2150925429251182
PCE_EXPONENTIAL,0.05037671642538981
