Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.573909999999995
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.6700657142857096
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.8223258333333285
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.8600049999999954
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.881426666666662
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.6286699999999953
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.7230170098039169
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.7041237499999958
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.3334833333333278
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.6179213541666564
PCE_LINEAR,0.560315228596376
PCE_EXPONENTIAL,0.37417481290535326
