Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.0793372933729346
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.051896447535903424
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.14995949959499502
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.16945649999999898
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.26819949999999926
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.053755999999999984
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.07688513235293998
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.036890993909938684
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.25774500000000455
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.03094531250000121
PCE_EXPONENTIAL,0.06459665759362247
