Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.13197819781978123
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.08518923320903378
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.22882538253825216
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.24982999999999822
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.3707674999999984
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.09114999999999893
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.10680632352940962
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.07153465346534556
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.34335000000000704
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.0820914062500028
PCE_LINEAR,0.11114009701549328
PCE_EXPONENTIAL,0.0516748891959942
