Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.08876022479550352
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.09058104552194529
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.21644967100657797
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.24181999999999793
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.3592059999999982
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.07463799999999851
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.10877320588235054
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.06020129597407918
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.22502000000000408
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.041398203125
PCE_LINEAR,0.08096037350318805
PCE_EXPONENTIAL,0.05939176025757462
