Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.07440166666666573
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.0965621428571412
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.2282733333333317
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.2483383333333315
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.3685066666666651
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.08019333333333163
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.1193544607843116
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.07147624999999888
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.22548333333333734
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.05668307291666759
PCE_LINEAR,0.09954148536556194
PCE_EXPONENTIAL,0.04955343991332857
