Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.1273027302730259
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.1534224851056496
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.3190069006900652
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.3577149999999961
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.4780049999999963
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.14811999999999723
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.17272397058823113
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.10499174917491452
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.3725500000000067
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.10260781250000232
PCE_LINEAR,0.14097822717273392
PCE_EXPONENTIAL,0.06233408629638134
