Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.21615161516151488
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.3041468432557527
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.5271877187718758
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.5712249999999985
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.6747449999999986
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.2904599999999983
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.3563782352941159
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.31725172517251654
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.26765000000000316
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.21095507812499353
PCE_LINEAR,0.2886687914274828
PCE_EXPONENTIAL,0.06579243434778784
