Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.09314113717725657
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.07159528238006582
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.20559438811223657
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.23114899999999872
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.345594999999999
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.0634259999999996
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.10153670588235139
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.05938156236875199
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.22243000000000376
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.04730210937500124
PCE_LINEAR,0.07914155425893643
PCE_EXPONENTIAL,0.07516159312854419
