Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.05825214360680386
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.04107599018933793
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.1246811818055789
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.14141633663366188
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.2256004950495038
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.043377227722772436
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.05073153756551975
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.024606427850055672
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.29758910891089696
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.024238165222774784
PCE_EXPONENTIAL,0.044050147667108144
