Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.3170786584268253
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.38893664983842613
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.6008374832503292
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.6524229999999942
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.7316074999999943
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.354573999999994
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.433218294117641
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.3910091798163987
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.1616999999999982
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.2629571874999862
PCE_EXPONENTIAL,0.08352096160936083
