Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.3502820028200258
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.3855066407806915
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.6166149161491593
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.6620544999999978
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.741164999999998
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.36610199999999765
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.4379198823529388
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.4047205472054706
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.15305500000000216
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.27907273437498964
PCE_EXPONENTIAL,0.03568930965098089
