Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.05040100401004059
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.03504035040350355
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.11386963869638575
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.1302304999999987
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.21821374999999904
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.03571500000000033
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.05102572058823425
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.024557120571204998
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.23108000000000478
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.022763984375003148
PCE_EXPONENTIAL,0.05547078830778218
