Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.08117982343361603
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.08673241989004252
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.2151667095225831
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.23998142857142643
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.35788964285714114
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.07793571428571276
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.11183451680672038
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.06358371903659762
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.23743571428571833
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.051378906249998677
PCE_LINEAR,0.08097338929694442
PCE_EXPONENTIAL,0.05115322507342281
