Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.18103768463757822
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.24160881117682037
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.4491832376217789
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.4890942857142823
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.6032567857142825
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.2355399999999964
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.2718993487394922
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.22537873917887813
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.17005000000000148
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.10324313616070438
PCE_LINEAR,0.2249134440207245
PCE_EXPONENTIAL,0.04975082913065591
