Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.046318738984930316
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.045552316453223406
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.14474271767757588
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.16508118811880984
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.2660779702970279
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.05049504950494882
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.05807891671519842
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.0319562021030105
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2484207920792126
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.021437693378714807
PCE_EXPONENTIAL,0.03698262364481691
