Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.053110555555555036
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.05050690476190299
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.14559305555555363
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.16539777777777573
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.26630583333333163
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.052566666666665054
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.05395651960784066
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.032521666666665186
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.21223888888889314
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.0267911024305569
PCE_LINEAR,0.05389838246364217
PCE_EXPONENTIAL,0.034731158307672774
