Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.06449871002579939
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.04027376595325148
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.11873512529749264
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.1384379999999985
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.22994349999999883
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.053815999999999885
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.0541929705882338
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.024618257634846347
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.3116100000000064
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.03121804687500062
PCE_LINEAR,0.05404761713434616
PCE_EXPONENTIAL,0.04129865167291019
