Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.07604447911041855
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.05178582142642825
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.14731105377892348
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.16973799999999895
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.2656579999999993
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.045498000000000344
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.06586826470588142
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.033598578028439054
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2963100000000055
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.04722851562500146
PCE_LINEAR,0.05293411541336788
PCE_EXPONENTIAL,0.05771793709661475
