Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.10143833333333016
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.1093528571428539
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.2632508333333299
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.28729666666666304
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.41988916666666326
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.10775666666666366
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.13613872549019224
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.08774749999999713
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2905833333333378
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.05705533854166337
PCE_LINEAR,0.09671958933604834
PCE_EXPONENTIAL,0.050178065085946036
