Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.12149795720122052
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.16391072499969164
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.3605714836718928
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.3978271428571404
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5240421428571407
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.1399214285714264
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.2006531302520981
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.1481277320647966
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2047285714285756
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.05547561383927824
PCE_LINEAR,0.18432883949589435
PCE_EXPONENTIAL,0.05466989838153211
