Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.19876999999999456
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.22502785714285206
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.425308333333328
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.4657016666666614
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5882474999999947
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.2040866666666612
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.2634178921568571
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.20465374999999555
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2369666666666686
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.11216914062499048
PCE_LINEAR,0.16047012776807015
PCE_EXPONENTIAL,0.08024974135075848
