Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.1948649999999987
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.2515271428571421
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.46355999999999903
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.5140233333333323
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.6213683333333325
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.22413333333333235
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.28040034313725376
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.24704500000000001
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.23588333333333664
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.14670794270832682
PCE_LINEAR,0.2542772741101589
PCE_EXPONENTIAL,0.05614135618554108
