Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.06694737293220102
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.051486794254856395
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.142351289963142
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.16286071428571222
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.26668249999999827
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.0542771428571413
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.053369915966384206
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.03378332047655637
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.2200500000000034
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.029439174107143924
PCE_LINEAR,0.05158911069507118
PCE_EXPONENTIAL,0.0362628082890028
