Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.08811461613100946
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.11421782043774276
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.2702845600902959
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.29922524752474944
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.4269774752475219
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.11092277227722466
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.13664938846825514
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.09087061129923134
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.24017326732673658
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.03570316367573931
PCE_EXPONENTIAL,0.04760421613068401
