Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.0850383175904481
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.06369609864976025
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.1508913542842414
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.17206782178217628
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.26832970297029546
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.06164752475247531
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.06894551543389413
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.032416235965067625
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.27317326732673697
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.03207313582920869
PCE_EXPONENTIAL,0.04695424193245497
