Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.041444414444144345
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.021152140092829612
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.05628906289062792
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.06387899999999899
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.1156679999999994
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.029967999999999727
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.0295577499999994
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.00872221222212175
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.19508500000000414
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.019916718750001568
PCE_EXPONENTIAL,0.030100218634501557
