Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.05615611111111176
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.028265952380952263
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.07464972222222081
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.08902666666666524
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.15098249999999896
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.027805555555555632
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.02984060457516228
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.013700833333332246
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.23808888888889318
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.01814040798611292
PCE_LINEAR,0.03324523308868279
PCE_EXPONENTIAL,0.023573461915270356
