Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.08765876587658712
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.0461660451759444
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.1437818781878168
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.16340499999999789
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.26598499999999825
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.07376999999999863
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.05369705882352753
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.036209870987097305
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.28085000000000576
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.0954785156250042
PCE_LINEAR,0.06176444875455376
PCE_EXPONENTIAL,0.046663130517903585
