Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.16522169556608474
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.2019782461493583
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.39862402751944503
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.4360489999999954
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5606249999999956
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.1888879999999954
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.23001832352940693
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.18226735465290322
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.13670000000000324
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.08756140624999115
PCE_EXPONENTIAL,0.10055497871678767
