Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.11914394344442084
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.16113650058133774
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.35457583318481206
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.3870103960396004
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.5125749999999967
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.1500019801980162
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.18404135119393913
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.14844056317946625
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.1668168316831713
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.051626044245042156
PCE_EXPONENTIAL,0.04327023190771711
