Method,Average Absolute Error
ZNE_LINEAR_1_1.1_1.2_FOLD_GLOBAL,0.21377872442550605
ZNE_LINEAR_1_1.2_1.6_FOLD_GLOBAL,0.2506989860202747
ZNE_LINEAR_1_3_5_FOLD_GLOBAL,0.4671121577568397
ZNE_LINEAR_1_2_3_4_5_FOLD_GLOBAL,0.5085769999999948
ZNE_LINEAR_1_3_5_7_9_FOLD_GLOBAL,0.620740999999995
ZNE_LINEAR_1_1.1_1.2_1.3_1.4_FOLD_GLOBAL,0.22489399999999468
ZNE_LINEAR_1_1.2_1.5_1.8_2_FOLD_GLOBAL,0.29307752941175924
ZNE_RICHARDSON_1_3_5_FOLD_GLOBAL,0.24327413451730545
ZNE_RICHARDSON_1_2_3_4_5_FOLD_GLOBAL,0.22175000000000306
ZNE_RICHARDSON_1_3_5_7_9_FOLD_GLOBAL,0.11636445312498651
PCE_EXPONENTIAL,0.06435660615391861
